BITACORA META - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Meta (AI/Social). Llama models, AI infra, $27B Nebius deal. Ad rev growth.
[2026-06-02] INTRA 05:08 - $600.47 | -5.07% | Prob: 60%
[2026-06-02] INTRA 05:17 - $600.47 | -5.07% | Prob: 60% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $600.47 | -5.07% | Prob: 77% | Reinversión en metaverso y monetización de IA impulsan expectativas.
[2026-06-02] INTRA 05:33 - $600.47 | -5.07% | Prob: 95% | Meta lidera en redes sociales con crecimiento en realidad virtual e IA
[2026-06-02] INTRA 05:39 - $600.47 | -5.07% | Prob: 67% | Desafíos en monetización de redes sociales.
[2026-06-02] INTRA 05:41 - $600.47 | -5.07% | Prob: 52% | Integración de IA en redes sociales y publicidad
[2026-06-02] INTRA 06:23 - $600.47 | -5.07% | Prob: 38% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $600.47 | -5.07% | Prob: 22% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $600.47 | -5.07% | Prob: 18% | RSI 50.8, MACD bajista, MA50 -2.9%, noticias positivas 0.35, tendencia bajista.
[2026-06-02] INTRA 07:05 - $600.47 | -5.07% | Prob: 35% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $227.26 | -1.19% | Prob: 35% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $232.9 | 1.26% | Prob: 35% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $231.26 | 0.55% | Prob: 46% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $232.81 | 1.22% | Prob: 43% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $597.63 | -0.47% | Prob: 41% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $597.63 | -0.47% | Prob: 39% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $597.63 | -0.47% | Prob: 37% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $597.63 | -0.47% | Prob: 36% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $597.63 | -0.47% | Prob: 35% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $597.63 | -0.47% | Prob: 34% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $597.63 | -0.47% | Prob: 33% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $622.67 | 4.19% | Prob: 35% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $622.28 | 4.12% | Prob: 37% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $622.98 | 4.24% | Prob: 34% | Ligera alza, RSI 52.8, MACD bajista; Sentimiento IA positivo (0.6) pero precisión baja (26%).
[2026-06-03] INTRA 22:05 - $622.98 | 4.24% | Prob: 35% | Sentimiento IA neutral, RSI 52.8, MACD bajista; ligera alza técnica, pero incertidumbre en monetización AI.
[2026-06-03] INTRA 23:07 - $622.98 | 4.24% | Prob: 27% | RSI 52.8, ligera-alcista pero MACD bajista y fuerte sentimiento negativo (-0.85); precisión baja (32%).
[2026-06-04] INTRA 04:37 - $622.98 | 4.24% | Prob: 29% | RSI 53, MACD bajista, sentimiento IA mixto y precisión 31%; riesgos regulatorios y competencia afectan.
[2026-06-04] INTRA 16:28 - $636.71 | 2.2% | Prob: 43% | RSI 57, MACD bullish, sentimiento IA positivo (0.6) pero precisión 30%; moderado alza.
[2026-06-04] INTRA 18:00 - $629.8 | 1.09% | Prob: 42% | RSI 54.7, ligera-alcista, lanzamiento Instagram Plus impulsa, sentimiento IA positivo, precisión 32% moderada.
[2026-06-04] INTRA 19:33 - $625.62 | 0.43% | Prob: 45% | RSI 52.8, ligera alza, IA positivo (0.6) y buen sentimiento Reddit; precisión media.
[2026-06-04] INTRA 21:12 - $627.57 | 0.74% | Prob: 23% | RSI 53.9, MACD alcista, pero sentimiento IA negativo (-0.6) y presión de dividendos.
[2026-06-04] INTRA 22:27 - $627.57 | 0.74% | Prob: 45% | Leve alza, RSI 53, impulso de AI data centers; precisión media (35%).
[2026-06-04] INTRA 23:15 - $627.57 | 0.74% | Prob: 45% | RSI 53.9, ligera alza, alianzas AI con Corning, precisión 38% sector.
[2026-06-05] INTRA 16:10 - $612.95 | -2.33% | Prob: 31% | Downtrend persistente, retrasos en monetización de IA y RSI 49.4 mantienen el papel bajo presión a corto plazo.
[2026-06-05] INTRA 17:40 - $607.9 | -3.13% | Prob: 37% | RSI 48, MACD alcista, tendencia bajista general y precisión moderada (41%).
[2026-06-05] INTRA 19:09 - $594.95 | -5.2% | Prob: 46% | RSI 42.6, tendencia bajista, pero IA y posible equity raise son positivos; precisión 43%.
[2026-06-05] INTRA 21:06 - $593 | -5.51% | Prob: 29% | Sentimiento IA negativo, tendencia bajista, pero AI push y alta valoración pueden estabilizar.
[2026-06-05] INTRA 22:19 - $593 | -5.51% | Prob: 37% | RSI medio, MA50 negativo, tendencia bajista, pero impulso de IA en publicidad.
[2026-06-06] INTRA 05:21 - $593 | -5.51% | Prob: 44% | Sentimiento neutral, tendencia bajista, pero iniciativas en metaverso y energía nuclear añaden potencial a largo plazo.
[2026-06-08] INTRA 17:09 - $587.98 | -0.85% | Prob: 41% | Downtrend con RSI 41.8; aunque regulatorios se suavizan, la presión de ingresos y alta valoración limitan upside.
[2026-06-08] INTRA 18:13 - $586.91 | -1.03% | Prob: 42% | Retraso en IA, sentiment negativo, RSI 42, tendencia bajista; necesita recuperación de usuarios.
[2026-06-08] INTRA 19:37 - $586.85 | -1.04% | Prob: 43% | Presión regulatoria y gasto en metaverso reducen margen; tendencia bajista y RSI bajo limitan upside.
[2026-06-08] INTRA 21:23 - $585.39 | -1.28% | Prob: 44% | AI payoff esperado pero tendencia bajista y RSI bajo; valoración razonable (PE 21).
[2026-06-08] INTRA 22:32 - $585.39 | -1.28% | Prob: 45% | Inversión en data centers AI y programa de empleo; RSI 41 y tendencia bajista limitan upside.
[2026-06-08] INTRA 23:24 - $585.39 | -1.28% | Prob: 46% | Reinversión en IA, PE 21, RSI 41, downtrend técnico pero IA positiva, ingresos en recuperación.
[2026-06-09] INTRA 17:41 - $586.46 | 0.18% | Prob: 45% | Presión regulatoria en EU y tendencia bajista; sin embargo, inversión en IA mantiene base.
[2026-06-09] INTRA 19:29 - $589.07 | 0.63% | Prob: 46% | Desafíos regulatorios UE, RSI 45, tendencia down; PE 21, pero presión de competencia.
[2026-06-09] INTRA 21:18 - $584.59 | -0.14% | Prob: 48% | Regulación UE y sentimiento negativo; RSI 44, MACD alcista, pero presión de ingresos publicitarios.
[2026-06-09] INTRA 22:28 - $584.59 | -0.14% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $584.59 | -0.14% | Prob: 60% | RSI 43.7 bajo, MACD alcista, tendencia bajista; soporte en 52w low; objetivo 30d 600
[2026-06-11] INTRA 17:06 - $563.15 | -1.37% | Prob: 53% | Debilidad tras debate de AI evolution; RSI 35.8 y tendencia bajista, pero PE 20 atractivo.
[2026-06-11] INTRA 18:36 - $568.33 | -0.46% | Prob: 53% | Inversión en IA y recuperación de usuarios; técnico downtrend pero sentimiento positivo (0.4).
[2026-06-11] INTRA 19:53 - $571.52 | 0.09% | Prob: 52% | Downtrend, RSI 38, alta exposición a metaverso; asociación con India podría estabilizar.
[2026-06-11] INTRA 21:42 - $568.43 | -0.45% | Prob: 51% | RSI 37.4, MACD bajista, MA50 -8.6%; soporte en $520, presión bajista.
[2026-06-11] INTRA 23:02 - $568.43 | -0.45% | Prob: 51% | Desafíos de monetización, RSI 37 y tendencia bajista; sin embargo, inversión en metaverso mantiene potencial.
[2026-06-11] INTRA 23:34 - $568.43 | -0.45% | Prob: 51% | PE 20.7, dividend 0.37%, RSI 37.4, MACD bajista, sentimiento neutral, pero iniciativas de IA generativas pueden revertir.
[2026-06-12] INTRA 17:55 - $566.19 | -0.39% | Prob: 51% | Inversión en AI en India y margen de mejora; RSI 35.7 y tendencia bajista, pero fundamentos sólidos.
