BITACORA ORCL - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Oracle (Cloud Infrastructure). AI database growth, cloud infra expansion. Cerner synergies.
[2026-06-02] INTRA 05:08 - $248.15 | 9.91% | Prob: 57%
[2026-06-02] INTRA 05:17 - $248.15 | 9.91% | Prob: 57% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $248.15 | 9.91% | Prob: 72% | Transición a la nube híbrida y ofertas de IA aumentan la relevancia.
[2026-06-02] INTRA 05:33 - $248.15 | 9.91% | Prob: 95% | Oracle innovan en bases de datos con IA integrada
[2026-06-02] INTRA 05:39 - $248.15 | 9.91% | Prob: 95% | Transición a servicios en la nube.
[2026-06-02] INTRA 05:41 - $248.15 | 9.91% | Prob: 95% | Expansión en nube y soluciones de datos
[2026-06-02] INTRA 06:23 - $248.15 | 9.91% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $248.15 | 9.91% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $248.15 | 9.91% | Prob: 95% | RSI 76.9, MACD alcista, MA50 43.6%, noticias positivas 0.8, demanda estable.
[2026-06-02] INTRA 07:05 - $248.15 | 9.91% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $223.49 | 1.13% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $220.88 | -0.05% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $223.68 | 1.21% | Prob: 95% | Analisis basado en datos de mercado.
