BITACORA COST - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Costco (Consumer Defensive). Resilient consumer model. Membership growth. E-commerce expansion.
[2026-06-02] INTRA 05:08 - $946.11 | -1.07% | Prob: 53%
[2026-06-02] INTRA 05:17 - $946.11 | -1.07% | Prob: 53% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $946.11 | -1.07% | Prob: 75% | Modelo de membresía sólido y exposición a consumo discrecional.
[2026-06-02] INTRA 05:33 - $946.11 | -1.07% | Prob: 95% | Costco mantiene liderazgo en retail con crecimiento en comercio electrónico
[2026-06-02] INTRA 05:39 - $946.11 | -1.07% | Prob: 60% | Estabilidad en ventas de productos de consumo.
[2026-06-02] INTRA 05:41 - $946.11 | -1.07% | Prob: 53% | Retail resistente con crecimiento en comercio electrónico
[2026-06-02] INTRA 06:23 - $946.11 | -1.07% | Prob: 30% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $946.11 | -1.07% | Prob: 15% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $946.11 | -1.07% | Prob: 20% | RSI 39.1, MACD alcista, MA50 -6.0%, noticias neutrales, demanda moderada.
[2026-06-02] INTRA 07:05 - $946.11 | -1.07% | Prob: 28% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $209.89 | 0.43% | Prob: 28% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $206.61 | -1.14% | Prob: 28% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $210.78 | 0.85% | Prob: 36% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $208.3 | -0.33% | Prob: 42% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $954.27 | 0.86% | Prob: 47% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $954.27 | 0.86% | Prob: 51% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $954.27 | 0.86% | Prob: 55% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $954.27 | 0.86% | Prob: 58% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $954.27 | 0.86% | Prob: 60% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $954.27 | 0.86% | Prob: 62% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $954.27 | 0.86% | Prob: 64% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $960.87 | 0.69% | Prob: 66% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $959.99 | 0.6% | Prob: 67% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $961.83 | 0.79% | Prob: 71% | Ligera bajista, RSI 34.3, MACD bajista; Buen posicionamiento defensivo pero presión inflacionaria.
[2026-06-03] INTRA 22:05 - $961.83 | 0.79% | Prob: 73% | RSI 34.3, MACD bajista, ligera bajista; ventas May robustas pero presión macro.
[2026-06-03] INTRA 23:07 - $961.83 | 0.79% | Prob: 94% | RSI 34.3, ligera-bajista pero fuerte sentimiento positivo (+0.68) y precisión alta (70%).
[2026-06-04] INTRA 04:37 - $961.83 | 0.79% | Prob: 78% | Alta precisión (71%) y dividendos sólidos; aunque RSI 34 y tendencia bajista, resultados de gasolina impulsan soporte.
[2026-06-04] INTRA 16:28 - $980.65 | 1.96% | Prob: 76% | RSI 37, MACD bajista, pero alta precisión (73%) y dividendos sólidos; posible rebote.
[2026-06-04] INTRA 18:00 - $975.06 | 1.38% | Prob: 76% | RSI 35.4, ligera-bajista corto plazo, pero dividendos fuertes y sentimiento IA positivo; alta precisión.
[2026-06-04] INTRA 19:33 - $970.26 | 0.88% | Prob: 66% | RSI 34.3, tendencia bajista, pero IA neutral y reputación de dividendos fuertes.
[2026-06-04] INTRA 21:12 - $972.35 | 1.09% | Prob: 55% | RSI 35.0, MACD bajista, tendencia bajista pese a iniciativas de consumo.
[2026-06-04] INTRA 22:27 - $972.35 | 1.09% | Prob: 83% | Leve bajista técnico pero fuerte impulso de consumo y alta precisión (69%).
[2026-06-04] INTRA 23:15 - $972.35 | 1.09% | Prob: 74% | RSI 35.0, ligera bajista, pero fundamentos defensivos y precisión 70% sector.
[2026-06-05] INTRA 16:10 - $985.82 | 1.39% | Prob: 61% | Defensivo de calidad con precisión histórica robusta (71%); RSI 36 sugiere acumulación ante debilidad reciente del consumo.
[2026-06-05] INTRA 17:40 - $983.13 | 1.11% | Prob: 70% | Sentimiento positivo, aunque RSI 35.8 y MACD bajista; modelo de negocio defensivo.
[2026-06-05] INTRA 19:09 - $981.66 | 0.96% | Prob: 68% | RSI 35.2, tendencia bajista, pero fundamentals defensivos y precisión 70%; soporte en 52w.
[2026-06-05] INTRA 21:06 - $971.87 | -0.05% | Prob: 66% | Sentimiento IA positivo, aunque RSI bajo, la fortaleza defensiva y crecimiento de ventas respaldan alza.
[2026-06-05] INTRA 22:19 - $971.87 | -0.05% | Prob: 59% | RSI bajo, MA50 negativo, ligera tendencia bajista, pero demanda de retail fuerte.
[2026-06-06] INTRA 05:21 - $971.87 | -0.05% | Prob: 87% | Defensivo, alta precisión histórica, tendencia bajista técnico pero fundamentos sólidos y crecimiento de ventas.
[2026-06-08] INTRA 17:09 - $974.14 | 0.23% | Prob: 57% | Crecimiento digital y precios de marca propia mejoran márgenes; RSI 24 y tendencia bajista técnico, pero fundamentals sólidos.
[2026-06-08] INTRA 18:13 - $972.77 | 0.09% | Prob: 56% | Modelo defensivo, flujo de caja sólido, sentiment positivo, aunque RSI 24 indica sobreventa.
[2026-06-08] INTRA 19:37 - $974.43 | 0.26% | Prob: 55% | Consumo defensivo sólido, membresías estables, dividendos; tendencia bajista técnico pero fundamentals fuertes.
[2026-06-08] INTRA 21:23 - $974.75 | 0.3% | Prob: 54% | Estrategia de precios bajos y fuerte lealtad de clientes; tendencia bajista técnico pero fundamentals defensivos.
[2026-06-08] INTRA 22:32 - $974.75 | 0.3% | Prob: 52% | Presión de inflación en consumo; RSI 24 y tendencia bajista limitan upside.
[2026-06-08] INTRA 23:24 - $974.75 | 0.3% | Prob: 51% | Retail defensivo, RSI 24 (sobreventa), tendencia bajista, precios bajos de marca propia sostienen margen.
[2026-06-09] INTRA 17:41 - $969 | -0.59% | Prob: 52% | Modelo defensivo con flujo de caja estable; RSI extremadamente bajo indica sobreventa a corto plazo.
[2026-06-09] INTRA 19:29 - $969.48 | -0.54% | Prob: 54% | Modelo defensivo, dividend, RSI 16, tendencia bajista técnico pero fundamentals fuertes y sentiment positivo.
[2026-06-09] INTRA 21:18 - $968.59 | -0.63% | Prob: 56% | Ventas estables, precios de productos propios en descenso; RSI 16, MACD bajista pero fundamentals fuertes.
[2026-06-09] INTRA 22:28 - $968.59 | -0.63% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $968.59 | -0.63% | Prob: 59% | RSI 16.1 bajo, MACD bajista, ligera caída; soporte en 52w low; objetivo 30d 950
[2026-06-11] INTRA 17:06 - $981.15 | -0.23% | Prob: 59% | Modelo de negocio defensivo y AI chatbot mejora experiencia; RSI 28 y tendencia bajista técnico, pero fundamentals fuertes.
[2026-06-11] INTRA 18:36 - $980.31 | -0.31% | Prob: 60% | Modelo defensivo con fuerte poder de compra; técnico bajista corto plazo pero fundamentals sólidos.
[2026-06-11] INTRA 19:53 - $980.38 | -0.3% | Prob: 61% | Modelo defensivo, fuerte cash flow, PE 49; RSI 27 indica sobreventa temporal.
[2026-06-11] INTRA 21:42 - $975.69 | -0.78% | Prob: 60% | RSI 27.2, MACD bajista, MA50 -2.9%; soporte en $950, presión bajista.
[2026-06-11] INTRA 23:02 - $975.69 | -0.78% | Prob: 59% | Modelo defensivo, dividendos y fuerte cash flow; RSI 27 sobreventa, alta probabilidad de rebote.
[2026-06-11] INTRA 23:34 - $975.69 | -0.78% | Prob: 60% | PE 49, dividend 0.6%, RSI 27.2, MACD bajista pero fuerte flujo de caja y modelo defensivo, soporte técnico fuerte.
[2026-06-12] INTRA 17:55 - $977.84 | 0.22% | Prob: 57% | Alta precisión histórica, flujo de caja sólido y dividendos; aunque RSI 32 muestra sobreventa, fundamentals son fuertes.
[2026-06-12] INTRA 19:25 - $979.39 | 0.38% | Prob: 56% | PE 49, dividendos, RSI 33 sobreventa, tendencia bajista ligera; fundamentals defensivos y fuerte cash flow.
[2026-06-12] INTRA 21:17 - $982.35 | 0.68% | Prob: 55% | Fundamentales defensivos, pero reciente recall afecta confianza; outlook a medio plazo sigue sólido.
[2026-06-12] INTRA 22:33 - $982.35 | 0.68% | Prob: 54% | Sentimiento neutral, RSI 35, ligera bajista; modelo defensivo y dividendos sólidos hacen de COST una compra a precios reducidos.
[2026-06-12] INTRA 23:25 - $982.35 | 0.68% | Prob: 53% | Sentimiento neutral, técnico bajista (RSI 35). Modelo defensivo y flujo de caja sólido; dividendos atractivos.
[2026-06-15] INTRA 18:24 - $983.24 | 0.09% | Prob: 51% | Modelo defensivo, crecimiento de membresía y gasolina; sentimiento IA positivo y precisión alta (59%).
