================================================================================
 BITÁCORA DE APRENDIZAJE – ACTIVO: SNOW (SNOWFLAKE INC.)
 Inicialización: 2026-06-01
================================================================================

[2026-06-01] ENTRADA INICIAL – DÍA 1
- Contexto: Snowflake subió +48% en la última semana. Resultados Q1 sólidos. Anunció colaboración multi-anual con AWS para acelerar adopción de IA agente.
- Catalizadores: AI flywheel impulsando crecimiento. Acuerdo con AWS es validación masiva. Morningstar: cotiza a 6% descuento sobre valor justo de $255.
- Riesgos: Competencia (Databricks). Gastos operativos elevados. Dependencia de migración cloud enterprise.
- Confianza inicial: 57% (buena relación riesgo-recompensa con descuento vs valor justo).
- Punto ciego: Monitorear tasa de consumo de créditos (consumption-based model).

================================================================================

[2026-06-01] CICLO 22:40 - Precio: $255.92 | Variacion: 0.22% | Prob: 62% | Conf: 57%
[2026-06-02] GH 04:52 - Precio: $253.84 | Var: -0.6% | Prob: 62%
[2026-06-02] GH 04:58 - Precio: $254.3 | Var: -0.42% | Prob: 62%
[2026-06-02] INTRA 05:08 - $280.16 | 9.63% | Prob: 62%
[2026-06-02] INTRA 05:17 - $280.16 | 9.63% | Prob: 62% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $280.16 | 9.63% | Prob: 82% | Plataforma de datos en la nube con fuerte adopción empresarial.
[2026-06-02] INTRA 05:33 - $280.16 | 9.63% | Prob: 95% | Snowflake lidera en data warehousing con IA integrada
[2026-06-02] INTRA 05:39 - $280.16 | 9.63% | Prob: 95% | Expansión en datos estructurados y analítica.
[2026-06-02] INTRA 05:41 - $280.16 | 9.63% | Prob: 95% | Expansión en análisis de datos y soluciones de IA
[2026-06-02] INTRA 06:23 - $280.16 | 9.63% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $280.16 | 9.63% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $280.16 | 9.63% | Prob: 95% | RSI 94.5, MACD alcista, MA50 77.2%, noticias neutrales, soporte técnico fuerte.
[2026-06-02] INTRA 07:05 - $280.16 | 9.63% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $234.58 | -0.6% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $235.13 | -0.37% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $236.88 | 0.37% | Prob: 95% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $237.23 | 0.52% | Prob: 93% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $261.14 | -6.79% | Prob: 85% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $261.14 | -6.79% | Prob: 78% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $261.14 | -6.79% | Prob: 72% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $261.14 | -6.79% | Prob: 67% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $261.14 | -6.79% | Prob: 63% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $261.14 | -6.79% | Prob: 60% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $261.14 | -6.79% | Prob: 57% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $246.08 | -5.77% | Prob: 54% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $245.37 | -6.04% | Prob: 51% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $241.28 | -7.61% | Prob: 47% | Leve alza, RSI 74.3, sentimiento IA positivo (0.85) y anuncio de partnership. Precisión baja (39%).
[2026-06-03] INTRA 22:05 - $241.28 | -7.61% | Prob: 46% | Sentimiento IA positivo (0.78), RSI 74.3, MACD alcista; tendencia ligera alcista, buen potencial en IA empresarial.
[2026-06-03] INTRA 23:07 - $241.28 | -7.61% | Prob: 48% | RSI 74.3, ligera-alcista, sentimiento IA positivo; sin embargo, MACD alcista y volatilidad moderada.
[2026-06-04] INTRA 04:37 - $241.28 | -7.61% | Prob: 33% | RSI 74.3, alta volatilidad, pero tendencia ligera alcista; noticias negativas y baja precisión 33%.
[2026-06-04] INTRA 16:28 - $246.79 | 2.28% | Prob: 41% | RSI 76, MACD bullish, pero precisión solo 36% y sentimiento neutral; se mantiene estable.
[2026-06-04] INTRA 18:00 - $247.18 | 2.45% | Prob: 36% | RSI 75.8, tendencia ligera-alcista, pero sentimiento IA neutral y precisión 39%; mercado de datos en pausa.
[2026-06-04] INTRA 19:33 - $247.33 | 2.51% | Prob: 44% | RSI 75.7, ligera alza, IA neutral; precisión baja sugiere cautela.
[2026-06-04] INTRA 21:12 - $244.18 | 1.2% | Prob: 45% | RSI 75.4, MACD alcista, oportunidad AI monetizada; sentimiento IA neutral.
[2026-06-04] INTRA 22:27 - $244.18 | 1.2% | Prob: 52% | Leve alza, RSI 75, sentimiento IA positivo; sin embargo, alta valoración.
[2026-06-04] INTRA 23:15 - $244.18 | 1.2% | Prob: 53% | RSI 75.4, ligera alza, sentimiento IA neutral, precisión 44% sector.
[2026-06-05] INTRA 16:10 - $236.82 | -3.01% | Prob: 52% | Rally de 16% en 12 meses deja RSI 71.6 en sobrecompra; precisión histórica limitada y escasez de catalizadores nuevos sugieren pausa o retroceso.
