BITACORA UBER - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Uber (Mobility/Tech). Autonomous vehicle optionality. Mobility recovery. Delivery growth.
[2026-06-02] INTRA 05:08 - $73.77 | 4.79% | Prob: 56%
[2026-06-02] INTRA 05:17 - $73.77 | 4.79% | Prob: 56% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 05:23 - $73.77 | 4.79% | Prob: 66% | Recuperación de movilidad y expansión en entrega de alimentos.
[2026-06-02] INTRA 05:33 - $73.77 | 4.79% | Prob: 95% | Uber enfrenta desafíos en transición a movilidad eléctrica y logística
[2026-06-02] INTRA 05:39 - $73.77 | 4.79% | Prob: 95% | Competencia intensa en rideshare y delivery.
[2026-06-02] INTRA 05:41 - $73.77 | 4.79% | Prob: 95% | Desafíos en movilidad y competencia en servicios de transporte
[2026-06-02] INTRA 06:23 - $73.77 | 4.79% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:43 - $73.77 | 4.79% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 06:54 - $73.77 | 4.79% | Prob: 95% | RSI 40.8, MACD bajista, MA50 -0.0%, noticias positivas 0.68, demanda creciente.
[2026-06-02] INTRA 07:05 - $73.77 | 4.79% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:50 - $217.44 | -0.26% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-02] INTRA 18:55 - $220.03 | 0.93% | Prob: 95% | Analisis basado en datos de mercado y tendencias del sector.
[2026-06-03] INTRA 01:52 - $215.38 | -1.2% | Prob: 94% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:24 - $215.81 | -1% | Prob: 84% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:39 - $71.62 | -2.91% | Prob: 77% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 02:52 - $71.62 | -2.91% | Prob: 70% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:02 - $71.62 | -2.91% | Prob: 65% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:42 - $71.62 | -2.91% | Prob: 61% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 03:57 - $71.62 | -2.91% | Prob: 57% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 04:29 - $71.62 | -2.91% | Prob: 54% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 05:14 - $71.62 | -2.91% | Prob: 51% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:02 - $70.79 | -1.16% | Prob: 49% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 18:52 - $71.19 | -0.6% | Prob: 46% | Analisis basado en datos de mercado.
[2026-06-03] INTRA 20:30 - $71.69 | 0.1% | Prob: 49% | Downtrend, RSI 38.7, MACD bajista; Sentimiento IA positivo (0.75) y menciones Reddit neutras.
[2026-06-03] INTRA 22:05 - $71.69 | 0.1% | Prob: 38% | RSI 38.7, MACD bajista, tendencia bajista; sin embargo, anuncio de inversión en Nuro brinda soporte.
[2026-06-03] INTRA 23:07 - $71.69 | 0.1% | Prob: 40% | RSI 38.7, downtrend, MACD bajista; sentimiento neutral y precisión moderada (40%).
[2026-06-04] INTRA 04:37 - $71.69 | 0.1% | Prob: 25% | RSI 39, MACD bajista, sentimiento IA negativo y precisión 38% indican presión a la baja.
[2026-06-04] INTRA 16:28 - $73.07 | 1.92% | Prob: 30% | RSI 44, MACD bajista, tendencia bajista y precisión moderada (36%); riesgo de caída.
[2026-06-04] INTRA 18:00 - $71.94 | 0.35% | Prob: 24% | RSI 39.9, downtrend, MACD bajista, sentimiento mixto, precisión 35%; desafíos regulatorios.
[2026-06-04] INTRA 19:33 - $72.08 | 0.54% | Prob: 24% | RSI 40.1, tendencia bajista, IA positivo (0.65) pero Reddit neutral; precisión baja.
[2026-06-04] INTRA 21:12 - $72.21 | 0.73% | Prob: 14% | RSI bajo, MACD bajista, sector de movilidad enfrenta presión de precios.
[2026-06-04] INTRA 22:27 - $72.21 | 0.73% | Prob: 21% | Downtrend, RSI 41, MACD bajista; sentimiento negativo y precisión baja (31%).
[2026-06-04] INTRA 23:15 - $72.21 | 0.73% | Prob: 29% | RSI 41.0, tendencia bajista, sentimiento IA positivo (0.75) pero técnico débil.
[2026-06-05] INTRA 16:10 - $70.86 | -1.87% | Prob: 21% | Downtrend con RSI 34.9 y MACD bajista muestran falta de interés; reestructuración de HR añade incertidumbre operativa.
